run_name,config_path,model_key,dataset_label,stage_name,strategy,k,checkpoint_eval,estimated_cost,gpu_id,queue_order,manifest_path,suite_name,summary_path,status,has_checkpoint_metrics,has_training_history,cfg_data_source,cfg_data_hf_dataset_id,cfg_data_hf_split,cfg_data_prepared_path,cfg_data_min_responses,cfg_data_train_fraction,cfg_data_validation_fraction,cfg_data_max_train_prompts,cfg_data_max_validation_prompts,cfg_data_max_test_prompts,cfg_data_max_reference_responses_per_prompt,cfg_selection_strategy,cfg_selection_k,cfg_selection_quality_weight_alpha,cfg_selection_embedding_model,cfg_selection_score_source,cfg_selection_reward_model_model_name,cfg_selection_reward_model_batch_size,cfg_selection_reward_model_trust_remote_code,cfg_selection_n,cfg_training_use_lora,cfg_training_max_length,cfg_training_per_device_train_batch_size,cfg_training_per_device_eval_batch_size,cfg_training_gradient_accumulation_steps,cfg_training_num_train_epochs,cfg_training_learning_rate,cfg_training_weight_decay,cfg_training_warmup_ratio,cfg_training_logging_steps,cfg_training_eval_steps,cfg_training_save_steps,cfg_training_save_total_limit,cfg_training_gradient_checkpointing,cfg_training_lora_r,cfg_training_lora_alpha,cfg_training_lora_dropout,cfg_training_optim,cfg_generation_num_return_sequences_single,cfg_generation_num_return_sequences_multi,cfg_generation_multi_k_values,cfg_generation_max_new_tokens,cfg_generation_max_length_for_eval,cfg_generation_temperature,cfg_generation_top_p,cfg_evaluation_eval_batch_size,cfg_evaluation_embedding_model,cfg_evaluation_reward_model_model_name,cfg_evaluation_reward_model_batch_size,cfg_evaluation_reward_model_trust_remote_code,cfg_model_key,cfg_model_trust_remote_code,cfg_run_name,cfg_run_seed,created_at,checkpoint_dir,train_eval_loss,train_eval_runtime,train_eval_samples_per_second,train_eval_steps_per_second,train_epoch,reference_loss,reference_perplexity,single_response_chars_mean,single_response_words_mean,single_reward_mean,single_reward_prompt_mean,single_reward_best_mean,multi_k2_response_chars_mean,multi_k2_response_words_mean,multi_k2_semantic_diversity_mean,multi_k2_reference_coverage_mean,multi_k2_reference_alignment_mean,multi_k2_reward_mean,multi_k2_reward_prompt_mean,multi_k2_reward_best_mean,multi_k4_response_chars_mean,multi_k4_response_words_mean,multi_k4_semantic_diversity_mean,multi_k4_reference_coverage_mean,multi_k4_reference_alignment_mean,multi_k4_reward_mean,multi_k4_reward_prompt_mean,multi_k4_reward_best_mean,multi_k8_response_chars_mean,multi_k8_response_words_mean,multi_k8_semantic_diversity_mean,multi_k8_reference_coverage_mean,multi_k8_reference_alignment_mean,multi_k8_reward_mean,multi_k8_reward_prompt_mean,multi_k8_reward_best_mean,multi_k16_response_chars_mean,multi_k16_response_words_mean,multi_k16_semantic_diversity_mean,multi_k16_reference_coverage_mean,multi_k16_reference_alignment_mean,multi_k16_reward_mean,multi_k16_reward_prompt_mean,multi_k16_reward_best_mean,multi_response_chars_mean,multi_response_words_mean,multi_semantic_diversity_mean,multi_reference_coverage_mean,multi_reference_alignment_mean,multi_reward_mean,multi_reward_prompt_mean,multi_reward_best_mean,count_train_prompts,count_validation_prompts,count_test_prompts,count_train_pairs,count_validation_pairs,count_test_pairs,cfg_training_max_steps,checkpoint_eval_steps,cfg_training_checkpoint_eval_steps
gold_gens_llama31_8b_instruct_bkon_k1_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_bkon_k1_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,bkon,1,True,1.3,0,2,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_bkon_k1_gold_full/summary.json,completed,True,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,bkon,1,1.0,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_bkon_k1_gold_full,7,2026-03-26T21:35:20+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_bkon_k1_gold_full/checkpoints,1.8397653102874756,122.0705,16.777,16.777,1.0,1.6021323231374844,4.963605158270887,182.0,30.9,4.7076318359375,4.7076318359375,4.7076318359375,163.82,27.91,0.2724729341268539,0.6911808356642724,0.8133516731858254,4.0169873046875,4.0169873046875,6.990703125,164.2475,27.9725,0.27166575014591215,0.7275867426395416,0.815700811445713,3.95388916015625,3.95388916015625,8.9869482421875,170.07,29.10875,0.26705691039562224,0.7594482722878456,0.8201498484611511,3.9163676261901856,3.9163676261901856,11.08064453125,170.121875,29.136875,0.2591899114847183,0.7764672327041626,0.8212905979156494,4.143649206161499,4.143649206161499,13.035087890625,170.121875,29.136875,0.2591899114847183,0.7764672327041626,0.8212905979156494,4.143649206161499,4.143649206161499,13.035087890625,800,64,100,800,2048,3200,,,
gold_gens_llama31_8b_instruct_bkon_k2_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_bkon_k2_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,bkon,2,False,1.08,0,7,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_bkon_k2_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,bkon,2,1.0,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_bkon_k2_gold_full,7,2026-03-27T05:30:19+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_bkon_k2_gold_full/checkpoints,1.7810328006744385,120.279,17.027,17.027,1.0,1.551534441227559,4.718705206120939,186.18,31.63,4.75283203125,4.75283203125,4.75283203125,178.695,30.565,0.2618649333715439,0.69887067258358,0.828873091340065,3.97830810546875,3.97830810546875,7.052333984375,178.05,30.4925,0.26277905583381655,0.7372612696886063,0.8273059564828873,3.7349102783203123,3.7349102783203123,9.12066162109375,179.135,30.59125,0.26091169357299804,0.7568695715069771,0.8263860058784485,3.7706739044189455,3.7706739044189455,10.500419921875,177.205625,30.376875,0.2614315325021744,0.7841411101818084,0.8263639083504677,3.5531135177612305,3.5531135177612305,12.078310546875,177.205625,30.376875,0.2614315325021744,0.7841411101818084,0.8263639083504677,3.5531135177612305,3.5531135177612305,12.078310546875,800,64,100,1600,2048,3200,,,
gold_gens_llama31_8b_instruct_bkon_k4_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_bkon_k4_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,bkon,4,False,1.16,1,4,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_bkon_k4_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,bkon,4,1.0,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_bkon_k4_gold_full,7,2026-03-27T03:52:13+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_bkon_k4_gold_full/checkpoints,1.7531671524047852,116.2819,17.612,17.612,1.0,1.5344141933205537,4.638607406682145,180.51,30.77,3.04263671875,3.04263671875,3.04263671875,181.11,31.02,0.251978731751442,0.7105862674117088,0.8402382734417916,3.35863037109375,3.35863037109375,6.78701171875,178.875,30.66,0.2528266477584839,0.7437588182091713,0.8408107915520668,3.4192767333984375,3.4192767333984375,9.06150390625,179.5075,30.735,0.2609095728397369,0.7724761247634888,0.8383304551243782,3.754145202636719,3.754145202636719,10.9281494140625,178.37375,30.5875,0.25684211432933807,0.7923272225260735,0.8377919697761536,3.6747872924804685,3.6747872924804685,12.379013671875,178.37375,30.5875,0.25684211432933807,0.7923272225260735,0.8377919697761536,3.6747872924804685,3.6747872924804685,12.379013671875,800,64,100,3200,2048,3200,,,
gold_gens_llama31_8b_instruct_bkon_k8_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_bkon_k8_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,bkon,8,False,1.32,0,9,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_bkon_k8_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,bkon,8,1.0,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_bkon_k8_gold_full,7,2026-03-27T07:10:23+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_bkon_k8_gold_full/checkpoints,1.7233041524887085,119.6925,17.111,17.111,1.0,1.5090660392679274,4.522504979187569,180.89,30.97,4.19646484375,4.19646484375,4.19646484375,183.96,31.31,0.24800911843776702,0.7266766855120659,0.8621400633454323,3.48680419921875,3.48680419921875,6.515830078125,184.3425,31.3925,0.24296383380889894,0.7549966114759445,0.8597205343842507,3.2817010498046875,3.2817010498046875,8.322138671875,182.69625,31.16,0.2381295508146286,0.7796712085604668,0.8562108466029167,3.2235684204101562,3.2235684204101562,10.404462890625,182.43625,31.116875,0.23936274528503418,0.7971233430504799,0.854157187640667,3.341176414489746,3.341176414489746,11.655703125,182.43625,31.116875,0.23936274528503418,0.7971233430504799,0.854157187640667,3.341176414489746,3.341176414489746,11.655703125,800,64,100,6400,2048,3200,,,
gold_gens_llama31_8b_instruct_bkon_k16_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_bkon_k16_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,bkon,16,True,2.05,1,2,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_bkon_k16_gold_full/summary.json,completed,True,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,bkon,16,1.0,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_bkon_k16_gold_full,7,2026-03-27T01:03:11+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_bkon_k16_gold_full/checkpoints,1.6956794261932373,117.5787,17.418,17.418,1.0,1.4827756646624766,4.40515596299438,200.03,34.2,2.10998046875,2.10998046875,2.10998046875,194.215,33.08,0.25345874786376954,0.7154027935862541,0.8458549529314041,3.3980224609375,3.3980224609375,6.289775390625,194.575,33.085,0.2421178078651428,0.7478853303194046,0.8501557427644729,2.96739501953125,2.96739501953125,8.163134765625,191.03,32.5175,0.23966756582260132,0.7729743525385857,0.8513381850719451,2.7459228515625,2.7459228515625,9.901982421875,191.14625,32.555,0.24049727320671083,0.7959377139806747,0.8503546106815338,2.8122080993652343,2.8122080993652343,11.1475,191.14625,32.555,0.24049727320671083,0.7959377139806747,0.8503546106815338,2.8122080993652343,2.8122080993652343,11.1475,800,64,100,12800,2048,3200,,,
gold_gens_llama31_8b_instruct_dbkon_k2_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_dbkon_k2_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,dbkon,2,False,1.21,1,6,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_dbkon_k2_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,dbkon,2,0.75,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_dbkon_k2_gold_full,7,2026-03-27T04:48:47+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_dbkon_k2_gold_full/checkpoints,1.7530078887939453,118.9097,17.223,17.223,1.0,1.5324091799603776,4.629316254413947,171.31,28.95,2.49119140625,2.49119140625,2.49119140625,169.975,29.23,0.2728582155704498,0.6964440089464188,0.8182493814826012,3.23447265625,3.23447265625,6.943984375,174.9525,30.13,0.2681762135028839,0.7289906743168831,0.816039337515831,2.96200439453125,2.96200439453125,8.8412109375,174.6025,30.05125,0.27331584453582763,0.7576311931014061,0.8228609764575958,2.702639312744141,2.702639312744141,10.3233984375,175.14625,30.02625,0.2746541959047317,0.7812493997812271,0.8198466143012046,3.010545358657837,3.010545358657837,11.641923828125,175.14625,30.02625,0.2746541959047317,0.7812493997812271,0.8198466143012046,3.010545358657837,3.010545358657837,11.641923828125,800,64,100,1600,2048,3200,,,
gold_gens_llama31_8b_instruct_dbkon_k4_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_dbkon_k4_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,dbkon,4,False,1.299,0,3,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_dbkon_k4_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,dbkon,4,0.75,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_dbkon_k4_gold_full,7,2026-03-26T22:19:32+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_dbkon_k4_gold_full/checkpoints,1.7141759395599365,116.2788,17.613,17.613,1.0,1.503202860923484,4.496066308990067,178.87,30.79,2.25080078125,2.25080078125,2.25080078125,181.935,30.915,0.26256378591060636,0.7008098930120468,0.8303008425235748,1.924951171875,1.924951171875,5.4346875,181.8575,31.005,0.26649842381477357,0.7372667524218559,0.8308453273773193,2.4562030029296875,2.4562030029296875,8.195087890625,183.30625,31.31625,0.2746775209903717,0.7642502816021443,0.8258861291408539,2.169427795410156,2.169427795410156,9.817215576171876,182.0725,31.139375,0.28103512346744536,0.7879574728012085,0.8237430679798127,2.0548114013671874,2.0548114013671874,11.0175390625,182.0725,31.139375,0.28103512346744536,0.7879574728012085,0.8237430679798127,2.0548114013671874,2.0548114013671874,11.0175390625,800,64,100,3200,2048,3200,,,
gold_gens_llama31_8b_instruct_dbkon_k8_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_dbkon_k8_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,dbkon,8,False,1.478,1,8,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_dbkon_k8_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,dbkon,8,0.75,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_dbkon_k8_gold_full,7,2026-03-27T06:04:40+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_dbkon_k8_gold_full/checkpoints,1.678584098815918,121.269,16.888,16.888,1.0,1.4715511222276836,4.355986571156459,189.54,32.4,1.34076171875,1.34076171875,1.34076171875,190.75,32.625,0.2716500908136368,0.7002627010643482,0.82473343282938,1.081767578125,1.081767578125,4.19935546875,191.6025,32.85,0.27849199950695036,0.7385274255275727,0.8259285911917686,1.2288153076171875,1.2288153076171875,7.290751953125,195.41,33.395,0.2861466008424759,0.7653194196522236,0.8238683247566223,0.9062179565429688,0.9062179565429688,8.777490234375,193.240625,33.0875,0.2851553338766098,0.7936050474643708,0.8253972843289376,0.9817021179199219,0.9817021179199219,10.42854248046875,193.240625,33.0875,0.2851553338766098,0.7936050474643708,0.8253972843289376,0.9817021179199219,0.9817021179199219,10.42854248046875,800,64,100,6400,2048,3200,,,
gold_gens_llama31_8b_instruct_dbkon_k16_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_dbkon_k16_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,dbkon,16,True,2.296,0,5,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_dbkon_k16_gold_full/summary.json,completed,True,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,dbkon,16,0.75,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_dbkon_k16_gold_full,7,2026-03-27T02:58:55+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_dbkon_k16_gold_full/checkpoints,1.6489603519439697,122.7889,16.679,16.679,1.0,1.448745334856212,4.257769088044428,189.41,32.39,-2.096806640625,-2.096806640625,-2.096806640625,195.495,33.445,0.2793430399894714,0.7239367389678955,0.8362791401147842,-0.5869361877441406,-0.5869361877441406,2.9297579956054687,193.8875,33.135,0.2861672443151474,0.7510990244150162,0.8307861828804016,-0.5597510528564453,-0.5597510528564453,5.076515808105468,191.82625,32.9175,0.28482782542705537,0.7843924388289452,0.8309202906489372,-0.4723785781860352,-0.4723785781860352,7.58966796875,191.559375,32.8925,0.2855051112174988,0.8068276074528694,0.8360630518198013,-0.3425014686584473,-0.3425014686584473,9.283662109375,191.559375,32.8925,0.2855051112174988,0.8068276074528694,0.8360630518198013,-0.3425014686584473,-0.3425014686584473,9.283662109375,800,64,100,12800,2048,3200,,,
gold_gens_llama31_8b_instruct_dkon_k2_gold_full,configs/experiments/publication_suite/gold_gens_llama31_8b_instruct_dkon_k2_gold_full.yaml,llama31_8b_instruct,gold_gens,gold_full,dkon,2,False,1.166,0,6,configs/experiments/publication_suite/publication_suite_v1_manifest.json,publication_suite_v1,/home/mahmood6/Desktop/projects/mrt/results/runs/gold_gens_llama31_8b_instruct_dkon_k2_gold_full/summary.json,completed,False,True,hf_gold_labelled_gens,tlc4418/gold_labelled_gens,validation,/scratch/gilbreth/mahmood6/data/mrt/gold_labelled_gens/prompt_pools_publication_800_64_100_seed7.jsonl,4,0.8,0.1,800,64,100,32,dkon,2,0.0,sentence-transformers/all-MiniLM-L6-v2,reward_model,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,64,True,1024,1,1,16,1,0.00012,0.01,0.03,5,100,50,8,True,16,32,0.05,adamw_torch,1,16,"[2, 4, 8, 16]",128,1024,0.8,0.95,2,sentence-transformers/all-MiniLM-L6-v2,Skywork/Skywork-Reward-V2-Llama-3.1-8B,8,True,llama31_8b_instruct,True,gold_gens_llama31_8b_instruct_dkon_k2_gold_full,7,2026-03-27T05:06:59+00:00,/scratch/gilbreth/mahmood6/runs/mrt/gold_gens_llama31_8b_instruct_dkon_k2_gold_full/checkpoints,1.7195565700531006,122.5066,16.717,16.717,1.0,1.509763965047896,4.525662453715849,175.92,30.68,-1.7380029296875,-1.7380029296875,-1.7380029296875,189.34,33.175,0.2895123994350433,0.7050279910862446,0.8247648194432259,-0.6790217208862305,-0.6790217208862305,2.6405078125,184.6275,31.9275,0.28427427768707275,0.7424292531609535,0.8285864320397377,-1.2340311431884765,-1.2340311431884765,5.0938671875,180.95875,31.16375,0.2732354360818863,0.7724004565179348,0.8303103286027909,-1.1954326248168945,-1.1954326248168945,6.8530078125,180.095,30.9525,0.27234125018119815,0.7921679174900055,0.8305987733602523,-1.1104731941223145,-1.1104731941223145,8.412109375,180.095,30.9525,0.27234125018119815,0.7921679174900055,0.8305987733602523,-1.1104731941223145,-1.1104731941223145,8.412109375,800,64,100,1600,2048,3200,,,
